,HIOS ID,HIOS INPUTTED INSURANCE COMPANY NAME,STATE,REINSURANCE,RISK_TRANSFER_INDIVIDUAL,RISK_TRANSFER_SMALL_GROUP,Hash,MR_SUBMISSION_TEMPLATE_ID,MEMBER_MONTHS_INDIVIDUAL,MEMBER_MONTHS_SMALL_GROUP
0,54172,"Molina Healthcare of Florida, Inc.",FL,19011514.77,-218903904.11,0.0,-6652940424.02,,,
1,67138,"Health Net of California, Inc.",CA,41878401.12,-125635855.94,-9525637.47,-3763498563.29,,,
2,35783,"Humana Medical Plan, Inc.",FL,136763089.09,-135056370.83,-11511826.07,-3425106915.2900004,,,
3,71644,Freelancers Health Service Corporation d/b/a Health Republic I f N Y k,NY,51736709.66,-37496765.22,-153842015.39,-3415557015.8299994,,,
4,57451,"Coventry Health Care of Florida, Inc.",FL,56890286.23,-110567546.03,973155.25,-3012818284.0699997,,,
5,40513,"Kaiser Foundation Health Plan, Inc.",CA,193562111.34,-82078859.73,-86677086.3,-2663020339.35,,,
6,51398,"Preferred Medical Plan, Inc.",FL,11384479.83,-62496825.44,0.0,-1857710229.83,,,
7,47783,"Coventry Health Care of Georgia, Inc.",GA,20306783.02,-58546619.35,-1390240.05,-1696431799.56,,,
8,25303,"New York State Catholic Health Plan, Inc.",NY,14766898.32,-56655138.64,0.0,-1652941009.6,,,
9,60761,Meritus Health Partners,AZ,7171319.63,-48452998.55,-788993.84,-1465256612.9199998,,,
10,91237,"Healthfirst PHSP, Inc.",NY,6628929.28,-48556174.15,0.0,-1458838893.6899998,138710.0,401015.0,0.0
11,56346,"Coventry Health Care of the Carolinas, Inc.",NC,38727295.86,-47680707.29,-9400776.79,-1366824060.4,145396.0,1258611.0,418066.0
12,17210,Aetna Life Insurance Company,NY,4503869.05,9153245.87,-92687139.68,-1260403669.2400002,,,
13,95185,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",VA,10971185.18,-39306435.97,-1753706.42,-1171514227.95,,,
14,24872,"United Healthcare of Pennsylvania, Inc.",PA,6773389.05,-39114321.98,0.0,-1165130258.03,141292.0,356422.0,0.0
15,10191,"Freelancers CO-OP of New Jersey, Inc.",NJ,25505469.21,-38582686.31,-7735504.78,-1149028572.4,143062.0,563748.0,55523.0
16,27248,"Community Health Choice, Inc.",TX,5341921.19,-36084527.66,0.0,-1081226909.1299999,,,
17,61836,Coordinated Care Corporation,WA,4031648.63,-34636348.44,0.0,-1045505261.2299999,139389.0,335837.0,0.0
18,20472,"Colorado Health Insurance Cooperative, Inc.",CO,38644223.02,-41180913.97,-819602.44,-1020032013.4099998,,,
19,20523,Aetna Health of California Inc.,CA,0.0,0.0,-55802137.54,-948636338.18,,,
20,11177,MetroPlus Health Plan,NY,5188576.57,-30578616.79,-1666323.89,-939944590.63,,,
21,47579,Chinese Community Health Plan,CA,2643378.04,-28712244.96,-1540479.6,-897764100.6800001,,,
22,85654,HealthPartners Insurance Company,MN,9283259.98,-29118111.14,-3345685.38,-894555276.94,,,
23,98185,Blue Care Network of Michigan,MI,46806689.64,-40004463.16,2178690.19,-875453797.2499998,,,
24,94815,"ConnectiCare Insurance Company, Inc.",CT,17813284.44,-26170707.17,-10932640.17,-872453814.08,,,
25,19636,"HMO Louisiana, Inc.",LA,18986651.02,-30654005.69,-1581186.14,-844247783.63,139755.0,599791.0,532442.0
26,33709,Highmark Inc.,PA,106751486.75,-46784130.23,-7096865.07,-823694336.0699999,,,
27,74289,Oscar Insurance Corporation,NY,19778819.31,-30977083.32,0.0,-821837847.75,144522.0,416880.0,0.0
28,86382,Sunshine State Health Plan,FL,1183808.05,-26584661.51,0.0,-815837850.46,139395.0,187352.0,0.0
29,29698,Priority Health,MI,14180130.92,-27447894.51,-2734798.34,-798115385.1500001,,,
30,18126,Molina Healthcare of California,CA,1229750.9,-25983024.62,0.0,-796865506.9200001,,,
31,64844,Aetna Health Inc. (a PA corp.),PA,6956215.73,-25852344.53,-1628024.96,-780405594.6400001,,,
32,57165,"Affinity Health Plan, Inc.",NY,2553474.11,-24567668.78,0.0,-743723413.4100001,,,
33,79763,Land of Lincoln Mutual Health Insurance Company,IL,18116860.37,-22604098.38,-9219351.96,-730638010.51,,,
34,91661,"Horizon Healthcare Services, Inc.",NJ,85519013.5,-62882998.27,36636642.31,-727916932.6000001,,,
35,92815,Local Initiative Health Authority for Los Angeles County,CA,175487.58,-23491264.75,0.0,-727000794.19,,,
36,66842,Community Health Alliance Mutual Insurance Company,TN,10327427.25,-25536300.68,-35236.69,-719932354.0600001,,,
37,18628,Aetna Health Inc. (a FL corp.),FL,10355176.3,-28025200.75,5437975.83,-703849400.04,143757.0,485275.0,824836.0
38,85947,All Savers Insurance Company,TX,40075658.09,-28130267.1,21102.91,-591149924.0,145278.0,953930.0,549.0
39,60612,"Kaiser Foundation Health Plan, Inc.",HI,5417862.44,-15467100.5,-6719908.37,-555793520.71,,,
40,54192,"Care Source Indiana, Inc.",IN,4107892.8,-18119292.96,0.0,-532942832.15999997,,,
41,38498,Life Wise Health Plan of WA,WA,23266683.92,-22413845.18,0.0,-531962413.14000005,,,
42,85804,Life Wise Health Plan of Oregon,OR,17006993.54,-19940058.64,-1675210.84,-527571447.34000003,,,
43,32673,"Humana Health Plan of Texas, Inc.",TX,51268519.33,-26986914.17,-2173306.64,-514660916.8400001,141779.0,1147557.0,1418824.0
44,67129,Aetna Life Insurance Company,OH,6600034.03,-16376734.46,-481369.85,-469661817.50000006,,,
45,90296,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",MD,4158596.03,-17702319.36,2987261.26,-468878286.53,,,
46,61430,Coventry Health and Life,KS,19209399.9,-18755986.82,-684315.4,-458603153.92,,,
47,72564,"Evergreen Health Cooperative, Inc.",MD,725535.87,-3443885.2,-20766948.84,-454719820.39,,,
48,77552,Care Source,OH,9239804.41,-16752738.98,0.0,-454656277.51,,,
49,40788,Scott and White Health Plan,TX,7001993.36,-13412865.64,-4512866.63,-443503614.03000003,137253.0,254595.0,251093.0
50,44240,Coventry Health and Life,MO,30995795.09,-20980901.39,-233857.65,-437412957.51000005,,,
51,43198,CoOportunity Health,NE,2008541.46,-10205123.79,-7075784.88,-422587390.22999996,144864.0,53942.0,33954.0
52,38499,"United Healthcare of Louisiana, Inc.",LA,12762103.4,-16112496.42,-139379.33,-412522113.83,138827.0,348378.0,11302.0
53,45495,Peach State Health Plan,GA,2157601.74,-13768906.67,0.0,-411732894.59,139397.0,223797.0,0.0
54,56764,"Humana Medical Plan of Utah, Inc.",UT,2400337.75,-12348265.88,0.0,-365993878.03000003,,,
55,88582,Health Insurance Plan of Greater New York,NY,11919279.42,5515480.63,-36417583.95,-364684071.68000007,,,
56,93091,New Mexico Health Connections,NM,5520628.1,-11035028.09,-3534467.65,-363527424.14000005,,,
57,83978,Aetna Life Insurance Company,GA,6805223.19,-14644018.02,3119300.93,-353299880.48,,,
58,77606,"AmeriHealth HMO, Inc.",NJ,8825764.46,-4859744.69,-14888625.2,-341978362.57,,,
59,27811,"BlueCross BlueShield Kansas Solutions, Inc.",KS,6310284.83,-11980761.66,-355578.67,-333276455.03999996,,,
60,54332,"United Healthcare of North Carolina, Inc.",NC,26499387.62,-15787937.71,-1665560.71,-332244887.74000007,,,
61,27619,Arches Mutual Insurance Company,UT,13274182.37,-13206183.16,250109.0,-312220548.37,,,
62,61163,"Minuteman Health, Inc.",NH,2114169.44,-10494673.57,-46195.18,-311321012.65000004,,,
63,82884,Aetna Health Inc. (a NJ corp.),NJ,0.0,0.0,-18109387.03,-307859579.51,,,
64,88925,"University of Arizona Health PlansUniversity Healthcare, Inc.",AZ,462107.7,-9792044.0,0.0,-300318610.1,,,
65,46275,"Humana Medical Plan of Michigan, Inc.",MI,5234618.21,-10842830.41,0.0,-299485415.24,,,
66,81941,"Coventry Health Care of Louisiana, Inc.",LA,1300634.56,-9447131.62,-727200.2,-296119041.6999999,,,
67,15438,Coventry Health Care of Nebraska Inc.,NE,19987007.51,-13630630.99,-516160.25,-291415232.37,145369.0,547175.0,131042.0
68,62141,Celtic Insurance Company,AR,8194603.78,-10893205.76,0.0,-280327152.1,143926.0,511698.0,0.0
69,80473,Group Health Cooperative,WA,15405876.11,-9944277.0,-3747729.11,-264142849.10000002,141103.0,445529.0,162864.0
70,33906,Aetna Life Insurance Company,PA,4645171.42,-9332073.48,-361486.58,-262923349.8,,,
71,77514,Neighborhood Health Plan of Rhode Island,RI,1434546.04,-8608201.54,-343863.12,-262658098.49999997,142622.0,187810.0,3128.0
72,16049,All Savers Insurance Company,MO,10198103.34,-10361029.92,0.0,-249805204.14,145275.0,299911.0,0.0
73,97560,"United Healthcare of Mississippi, Inc.",MS,8888515.12,-10180815.77,451573.88,-245708927.07,,,
74,91069,"HealthyCT, Inc.",CT,11444255.56,-6912671.83,-6459820.49,-243999986.14,143365.0,204238.0,70909.0
75,60156,HMO Colorado Inc. dba HMO NV(Anthem BCBS),NV,5081257.08,-8860894.35,-27406.0,-239584827.28999996,145689.0,163550.0,2284.0
76,79888,"HealthPartners, Inc.",MN,0.0,31708.01,-13774545.17,-233184319.57999998,,,
77,41895,Consumers Mutual Insurance of Michigan,MI,2287097.39,-7071364.84,-1699990.62,-232102468.85,,,
78,68259,"United Healthcare of Alabama, Inc.",AL,7830979.3,-8989541.02,-397175.98,-230610908.18,140665.0,233318.0,8661.0
79,35065,Coordinated Care Corporation Indiana,IN,3088183.45,-8064367.37,0.0,-228378104.32,,,
80,67202,"Louisiana Health Cooperative, Inc.",LA,6803332.38,-8658833.22,-177962.62,-223825867.70000002,142852.0,287238.0,2901.0
81,20126,HealthSpan Integrated Care,OH,3298038.83,-4273438.02,-6425628.16,-218625985.52999997,,,
82,86052,"CareFirst Blue Choice, Inc.",DC,3019983.96,-1630614.05,-10757047.29,-212278951.76,,,
83,49046,"Blue Cross Blue Shield Healthcare Plan of Georgia, Inc.",GA,31989248.98,-15389290.74,2584861.27,-209200628.48999998,,,
84,65122,Consumers' Choice Health Insurance Company,SC,36814862.5,-14555844.07,-470419.09,-201524253.20000002,,,
85,27990,Aetna Life Insurance Company,NV,1532190.08,-7118682.16,672487.49,-198521529.07,,,
86,38345,Dean Health Plan,WI,18748096.75,-10372087.89,-209529.32,-193860045.78000003,,,
87,12028,Innovation Health Insurance Company,VA,9715649.28,-9421914.58,2094829.83,-188457699.91000003,145361.0,458023.0,120595.0
88,92036,Health Span,OH,4158176.9,-6743522.63,-471429.58,-187956266.09,139507.0,107468.0,14217.0
89,41047,Buckeye Community Health Plan,OH,649585.83,-6141372.01,0.0,-185835431.5,139393.0,63391.0,0.0
90,84251,Aetna Life Insurance Company,AZ,1613468.24,-3663100.18,-4599781.33,-180458110.51,145400.0,127740.0,421935.0
91,70239,Health Choice Insurance Co.,AZ,1542063.16,-5999819.7,0.0,-175199968.58,139427.0,58566.0,0.0
92,43070,United Healthcare Life Insurance Company,IN,11719200.31,-8198015.22,0.0,-172104069.64999998,145226.0,175956.0,0.0
93,85736,UCare Minnesota,MN,1958644.09,-5906132.97,0.0,-169379613.44,144900.0,115591.0,0.0
94,89130,"HPHC Insurance Company, Inc.",CT,0.0,0.0,-9781592.11,-166287065.87,,,
95,87226,Superior Health Plan,TX,1216016.27,-5580967.25,0.0,-164497870.86,139391.0,102284.0,0.0
96,10207,"CareFirst Blue Choice, Inc.",VA,9089003.13,-4690047.91,-4863412.73,-164446479.71000004,,,
97,18973,Coventry Health Care of Iowa Inc.,IA,23491160.98,-10780079.07,459305.01,-161936139.14000002,,,
98,38128,Montana Health Cooperative,ID,7007696.78,-6390206.43,-196033.64,-152375093.74999997,,,
99,93187,Aetna Health Inc. (a PA corp.),VA,0.0,0.0,-8533686.28,-145072666.76,,,
100,25896,Wellmark Health Plan of Iowa,IA,1963170.11,-4391485.66,-1170299.82,-142288961.63000003,,,
101,25978,United Healthcare Insurance Company,VA,0.0,0.0,-7578909.62,-128841463.54,,,
102,71837,"Sendero Health Plans, Inc.",TX,1493473.13,-4376813.02,0.0,-125226891.70999998,,,
103,50816,"Physicians Health Plan of Northern Indiana, Inc.",IN,7076370.23,-7085738.88,2912178.01,-120616287.50000003,,,
104,73836,"Moda Health Plan, Inc.",AK,26291860.29,-9415111.19,-683234.43,-119440410.16999999,,,
105,13667,Health Plus of Michigan,MI,912949.68,-4076070.63,83736.21,-118544026.2,,,
106,14468,"Coventry Health Care of Delaware, Inc.",MD,0.0,0.0,-6945127.9,-118067174.30000001,,,
107,38166,"Security Health Plan of Wisconsin, Inc.",WI,31470678.05,-10390482.3,-900331.9,-117115847.25000001,,,
108,96601,"Coventry Health Care of Illinois, Inc.",IL,6779907.14,-5367684.26,127525.13,-116770934.87000002,,,
109,45636,Care Source Kentucky Co.,KY,471687.18,-3862217.41,0.0,-116426929.45,,,
110,72850,United Healthcare Insurance Company,IN,0.0,0.0,-6771739.27,-115119567.58999999,,,
111,45786,Molina Healthcare of Texas,TX,2012006.55,-4116190.69,0.0,-113517865.54,,,
112,44965,"Humana Health Benefit Plan of Louisiana, Inc.",LA,6596325.19,-2526804.46,-4759020.22,-113060005.66999999,,,
113,71268,CoOportunity Health,IA,520740.41,-1753954.62,-3537357.91,-110862494.82000001,144863.0,10554.0,18569.0
114,38927,Altius Health Plans Inc.,UT,2270806.33,-3519378.66,-991146.89,-110054591.28,,,
115,33871,"Keystone Health Plan East, Inc.",PA,49277759.63,-12386830.58,-4106693.9,-108861226.86999999,,,
116,47342,Health Tradition Health Plan,WI,5970215.02,-4413566.24,-781266.69,-108310582.03,,,
117,94237,Magnolia Health Plan,MS,4584271.37,-4508929.62,0.0,-107686918.63,139387.0,219401.0,0.0
118,38596,Time Insurance Company,AK,1166760.16,-2908793.99,-1465993.25,-106927177.82000001,,,
119,91716,Aetna Life Insurance Company,TX,19067675.56,-10218459.31,4559477.87,-105787385.90000002,145442.0,562121.0,762695.0
120,79881,"United Healthcare of New England, Inc.",RI,204999.6,-1072057.02,-4145329.17,-102269366.31,,,
121,86443,"Innovation Health Plan, Inc.",VA,0.0,0.0,-5954916.7,-101233583.9,,,
122,91058,"Gundersen Health Plan, Inc.",WI,5244496.83,-855334.89,-6517699.11,-100604788.65,,,
123,34102,"Group Health Plan, Inc.",MN,4670695.94,-4257609.45,0.0,-99291021.37,,,
124,94506,"Kaiser Foundation Health Plan of the Mid-Atlantic States, Inc.",DC,493042.61,-1625923.79,-2940128.99,-96934532.05000001,,,
125,82483,North Shore-LIJ Insurance Company Inc.,NY,8733137.65,2282312.43,-13302063.81,-94251435.89000002,,,
126,23489,United Healthcare Insurance Company,PA,0.0,0.0,-5371431.92,-91314342.64,,,
127,71667,"United Healthcare Community Plan, Inc.",MI,749704.59,-3038785.1,0.0,-88954405.97000001,139717.0,55506.0,0.0
128,82649,Federated Mutual Insurance Company,MI,0.0,0.0,-4753200.26,-80804404.42,,,
129,60769,Federated Mutual Insurance Company,MN,0.0,0.0,-4702535.67,-79943106.39,,,
130,18167,Molina Healthcare of Utah,UT,1294507.75,-2854734.71,0.0,-79435221.76,,,
131,44580,Humana Insurance Company,AL,4106399.0,-3473430.83,0.0,-78931562.73,145785.0,80011.0,0.0
132,10958,United Healthcare Ins Co of River Valley,TN,0.0,0.0,-4628908.57,-78691445.69,,,
133,30609,"Memorial Hermann Health Insurance Company, Inc.",TX,47174.92,142237.3,-4900934.99,-78576314.09,,,
134,82824,Aetna Health Inc. (a GA corp.),GA,0.0,0.0,-4618662.88,-78517268.96,,,
135,21032,Kaiser Foundation Health Plan of Colo.,CO,20531573.09,-7630792.84,951160.48,-76663838.25,,,
136,16204,"Coordinated Health Mutual, Inc.",OH,15340572.04,-3985495.69,-3214448.51,-70811986.78,,,
137,34673,Aetna Life Insurance Company,WA,0.0,0.0,-4146219.54,-70485732.18,,,
138,87696,Time Insurance Company,NC,2412911.43,-2641746.14,-271229.67,-69614654.72,,,
139,68432,"IlliniCare Health Plan, Inc.",IL,41625.12,-2232448.52,0.0,-68914528.28,139399.0,16369.0,0.0
140,34541,Bridge Span Health Company,UT,3260858.06,-2946127.55,0.0,-68503947.63,,,
141,66083,"Humana Health Plan of Ohio, Inc.",OH,5152813.04,-1928407.65,-2483141.65,-65924353.919999994,142222.0,113702.0,337779.0
142,96384,Cox Health Systems Insurance Company,MO,1953915.81,-1884389.93,-1229766.58,-65644709.019999996,,,
143,33670,Rocky Mountain Hos&Med Svc(Anthem BCBS),NV,2720481.66,-4821040.08,3892116.41,-64242891.889999986,142877.0,150570.0,144350.0
144,99308,"Humana Health Insurance Co of FL, Inc.",FL,1206173.54,-2261208.38,-124082.7,-63763650.9,141775.0,231548.0,7886.0
145,48396,Anthem Health Plans of ME(Anthem BCBS),ME,6669157.74,-3917017.08,688516.26,-63038648.88000001,140571.0,260198.0,210436.0
146,91303,"Health America Pennsylvania, Inc.",PA,2390670.97,-2527671.54,0.0,-61623120.949999996,,,
147,31112,United Healthcare of the MidAtlantic Inc.,MD,504657.46,-1146080.38,-1678830.01,-60535999.73,,,
148,23841,Aetna Life Insurance Company,FL,731083.64,-2790586.53,1289962.56,-59461233.42999999,145407.0,34529.0,112153.0
149,75091,"ConnectiCare, Inc.",CT,26556.12,-1899004.88,-6351.77,-58791238.529999994,,,
150,26734,"Premier Health Plan, Inc.",OH,503783.01,-2005787.99,0.0,-58652946.62,141435.0,21655.0,0.0
151,59830,Health Plus Insurance Company,MI,9023847.45,-4117248.29,469960.22,-56478441.1,,,
152,50221,Oscar Insurance Corporation of New Jersey,NJ,944744.18,-1957295.7,0.0,-54062957.44,144524.0,27789.0,0.0
153,29497,Aetna Life Insurance Company,DE,983449.95,-1832345.1,-241246.17,-54019733.34,,,
154,17255,Golden Rule Insurance Company,NV,617120.17,-1803076.9,0.0,-51575542.71,138659.0,61178.0,0.0
155,38752,Aetna Life Insurance Company,WI,0.0,0.0,-3018035.3,-51306600.099999994,,,
156,37903,"QualChoice Life & Health Insurance Company, Inc.",AR,4993056.46,-2751129.36,-17495.48,-50631038.099999994,144894.0,149251.0,15283.0
157,18699,United Healthcare Insurance Company,WA,0.0,0.0,-2911146.39,-49489488.63,,,
158,52697,"Molina Healthcare of Wisconsin, Inc.",WI,13394747.66,-4595003.52,0.0,-48681875.49999997,,,
159,84867,Aetna Health Inc. (a PA corp.),OH,0.0,0.0,-2831979.85,-48143657.45,,,
160,64210,"Sutter Health Plan, Inc.",CA,184454.94,309874.09,-3431344.78,-47435579.89,,,
161,37755,Insurance Company of Scott & White,TX,476584.95,-1613428.88,0.0,-46680200.629999995,137255.0,78033.0,0.0
162,19898,"AvMed, Inc.",FL,3802605.77,-148477.46,-3997943.28,-45949596.62999999,,,
163,62210,DAKOTACARE,SD,9162251.24,-2809177.34,-1242844.35,-44077092.809999995,,,
164,70767,Aetna Life Insurance Company,MD,0.0,0.0,-2554392.85,-43424678.45,,,
165,80148,Federated Mutual Insurance Company,PA,0.0,0.0,-2549615.51,-43343463.669999994,,,
166,92120,"Coventry Health Plan of Florida, Inc.",FL,489283.73,-1502492.36,0.0,-43152277.050000004,143864.0,41870.0,0.0
167,47949,Golden Rule Insurance Company,KY,305224.98,-1451612.01,0.0,-42863397.45,138649.0,13076.0,0.0
168,34446,United Healthcare Ins Co of River Valley,IL,0.0,0.0,-2373664.9,-40352303.3,,,
169,64701,Federated Mutual Insurance Company,MO,0.0,0.0,-2366698.58,-40233875.86,,,
170,69347,United Healthcare Insurance Company,NC,0.0,0.0,-2306736.6,-39214522.2,,,
171,81068,Aetna Life Insurance Company,MI,613289.43,-1395523.24,0.0,-38968194.43,,,
172,30613,Humana Insurance Company,MO,4907965.39,-188325.95,-3938829.87,-38442454.510000005,145811.0,85368.0,182866.0
173,50138,Aetna Health Inc. (a NY corp.),NY,0.0,0.0,-2194924.08,-37313709.36,,,
174,40220,"United Healthcare of Texas, Inc.",TX,0.0,0.0,-2135148.22,-36297519.74,,,
175,59025,Harvard Pilgrim Health Care of NE,NH,2618360.08,-1229943.19,-843133.48,-34132987.489999995,,,
176,72547,Aetna Life Insurance Company,IL,814182.41,-670691.43,-1111838.73,-33993415.870000005,,,
177,57845,Medica Health Plans of Wisconsin,WI,5112090.38,-2183267.46,0.0,-31896658.60000001,145706.0,76759.0,0.0
178,30552,United Healthcare Ins Co of River Valley,GA,0.0,0.0,-1853417.85,-31508103.450000003,,,
179,71179,"Oxford Health Plans (CT), Inc.",CT,0.0,0.0,-1834583.56,-31187920.52,,,
180,19298,Aetna Health Inc. (a PA corp.),NV,44569.5,-1143730.03,261732.04,-30694199.75,,,
181,33232,United Healthcare Ins Co of River Valley,OH,0.0,0.0,-1790106.79,-30431815.43,,,
182,99663,"Coventry Health Care of Virginia, Inc.",VA,14299851.95,1027646.58,-9528358.12,-30026080.409999996,145393.0,507146.0,329571.0
183,68541,Coventry Health and Life,MD,0.0,0.0,-1649007.49,-28033127.33,,,
184,67190,Aetna Health Inc. (a PA corp.),DE,729231.6,-743159.52,-557909.15,-27417779.470000003,145373.0,12516.0,45656.0
185,92045,Meritus Mutual Health Partners,AZ,3283274.8,-558586.58,-1913246.31,-26858447.650000002,,,
